date,2303.TW,2308.TW,2317.TW,2324.TW,2330.TW,2345.TW,2356.TW,2357.TW,2368.TW,2376.TW,2379.TW,2382.TW,2408.TW,2421.TW,2454.TW,3017.TW,3034.TW,3037.TW,3131.TWO,3189.TW,3231.TW,3324.TWO,3380.TW,3443.TW,3529.TWO,3583.TW,3653.TW,3661.TW,3665.TW,3711.TW,5347.TWO,5483.TWO,6187.TWO,6213.TW,6274.TWO,6285.TW,6409.TW,6415.TW,6488.TWO,6669.TW,8016.TW,8046.TW,8299.TWO,8996.TW
2025-07-01,-0.000351081368082623,0.05055082931415611,-0.012370497423438598,0.010730300250485103,0.04623872385386246,-0.020522555271351717,0.015194376505706764,-0.009992981274454998,-0.1476852921970267,0.09950916509753524,-0.049755860015141734,0.05304086919827822,0.23429231991819338,0.11144729181675816,-0.2424056775848026,-0.14637420304604326,-0.032128931869881916,-0.06983967176927308,0.07348785792807427,-0.023195303731037897,-0.0065712197839971065,-0.04487804831251474,0.04853000956145859,0.06983135511680699,0.25036316106019485,0.021552329913965274,-0.13347452757840056,-0.16536704207820585,-0.30095806198044184,0.09326579318249342,-0.039910744254595815,0.1882752524653163,-0.2882574168721635,-0.06389662514911659,0.055439125679618506,0.00955562162489415,-0.06209274239804086,0.050860900418950306,-0.24595622546105944,-0.1366017204020053,0.00415523401594925,0.10608975989242353,-0.07515869225637994,0.13660882357304477
2025-07-02,0.12075123616890966,-0.033448926044593374,-0.026055292177449285,0.044493584343891335,0.061711120016532145,-0.07195641035297995,0.01181975695341203,0.006781191481081944,-0.15897692881638392,0.06030004813708878,0.12549874941364106,-0.010583409432056351,0.31832503349372876,0.16003784785706776,-0.2086717334392265,-0.10100181088789434,0.06481536354951903,0.03285553711479067,0.051569910623983584,-0.006733940542153594,-0.15063016060429466,-0.021179020825603856,0.12820488663992857,-0.020787099398236086,0.24911570056216714,0.0207116729721728,-0.16193275879486077,-0.15590220668884963,-0.12969419547078204,0.03282768474336473,-0.03371116639660943,0.07501711934645605,-0.1968057701092264,-0.152688542342096,0.22603694286668036,0.07925337443518804,-0.011078305647763131,0.06659114744801137,-0.12224272526344226,-0.062226198625488616,0.148053346145154,0.1015825702524008,-0.09563309961495786,0.19843075432749396
2025-07-03,0.06871608022007811,-0.052033454047405,-0.02536450856392275,0.08559488793460049,0.056913502238942204,-0.11502373011934941,-0.06345835727472754,-0.16735452123316752,0.0002381509691857242,0.005349765847548704,0.10967165080239813,-0.11649035492073265,0.10650508327656094,0.059466794336014206,-0.1860788508216196,-0.14916775732509907,0.16518321327886074,-0.05471341828451959,0.2175455950153019,-0.009277558805931285,-0.2684825163235731,0.04874426404576071,0.07002913438892194,0.06794070548870829,0.23473878970731793,-0.12287665196435332,0.039505022651293686,-0.20030191622990073,0.07519441669319249,0.003854882210955257,-0.09061921629115541,0.07582546529579187,-0.1787407735660591,-0.09698988928144225,0.25647572689615067,0.08848151187087702,0.0700751086420639,-0.030613005984456043,0.05177874008874095,-0.08436051147111667,-0.01458461823750623,0.11826689550191227,-0.11672656427362202,-0.045969240338651685
2025-07-04,0.11532884475592768,-0.11265820016397965,-0.1044752717600127,0.14841151622902746,0.06200175436920441,-0.07730538173789253,0.01180307116822843,-0.119971419291102,0.02729679350489661,0.03691228321552109,0.13538822385486135,-0.03862047759864498,0.19487426339835223,-0.08215056588629244,-0.005879006635294115,-0.22487428130537884,0.15824397474258484,0.09854551481637308,-0.030582535987063342,0.0077006490116120485,-0.177811128489876,0.0361663061121934,0.17747625042055457,-0.1229164677726306,0.3051112561271955,0.04702042291311287,-0.020275401132590798,0.08331061343288793,-0.18321359402415593,-0.008292615998662045,-0.04163787821364573,0.016539268320178657,0.033496403379637774,-0.06503347066505477,0.26134158095116145,0.047169974728242664,0.21837020251164105,-0.029885361249869347,0.07911933314357805,-0.12813322493354584,0.06463929809320568,0.0707180845992767,-0.08887885766335346,-0.04822975698066617
2025-07-07,0.105403297049636,0.12519484438266432,0.181459674568285,0.1444642154602123,0.12033635949043424,-0.09170997991896135,0.11268452670115747,-0.08690322301059905,-0.02842388719778899,0.012167438242952577,0.024706331303746693,-0.034648107326332,0.1347919520088955,0.06988786399091818,-0.05908925135861662,-0.1418287235624605,0.08049963046809727,-0.07197533684513013,0.06644818937054087,-0.06378441694158543,-0.23427763221589137,-0.11646487346343232,0.19797067528535975,-0.1514158286211239,0.23833207219281244,-0.010456234026921585,0.0001372673689656878,0.032559707520808334,0.17319257672536376,0.039775248805800245,-0.11642664739449476,0.003890868288853433,0.12783241886042523,-0.07636706608885041,0.2273718255428716,0.04669828259207309,0.054595433686157546,-0.051339836924494064,0.01954695652691213,-0.21785904365838527,0.10647356854680909,0.002902376816539043,-0.20126101076740993,-0.008015828900923283
2025-07-08,0.012573717563343523,0.2895417062709875,0.1608145730411835,0.048054132871665156,0.19842403997332492,-0.28956074775295126,0.06027668900390637,-0.03369581107288294,0.027662454192993013,-0.08056058141624278,-0.0769475598002235,-0.0018339175406877073,0.13512397660512382,-0.01292659348779851,-0.03715647919046619,0.13219546013652167,-0.006981077768814903,0.0376176769865349,-0.03744365334092531,-0.08968194033286336,-0.02336841804145079,-0.08242625602651177,0.24255276552479998,-0.009697187424324627,0.2263225411593483,0.040662517621688266,-0.06436516902424538,0.13489275043129612,0.1304518120649612,0.04140955871512936,-0.10054772414713684,0.048376100021534696,-0.06504739740853377,-0.12385937499927657,0.19876320135481734,0.05859778670840826,0.11842617643203551,-0.021890846756335847,-0.018098584460090494,-0.09563604133705642,0.06308480429528987,0.010757660535048896,-0.1023915153951773,-0.06306154265802077
2025-07-09,0.15645968783979297,0.020702549434106876,0.18504407791207683,0.08893103690667825,0.10573479321046442,-0.10527684384712183,0.1297820879575135,-0.013345859904089735,0.051574504981236946,-0.1115255578016866,-0.046895902092932096,-0.012856380180577859,0.06848095825733153,-0.06703114180331748,-0.03956153251782896,-0.042644354893182024,-0.034587186417802174,-0.0005868705931463825,0.08345104585142438,-0.05162106169426328,-0.0729014068181505,-0.01677912728653541,0.3145020826221639,-0.060942318057721934,0.2515460195570943,-0.01490095074070219,-0.05992162109697313,0.03684957051937793,0.1772409963799963,-0.0316840242701974,-0.03769200073822726,0.13231303363276686,0.11901464952250462,-0.11948505722301384,0.25545293469054436,0.09587987574730658,0.1294837357314808,-0.021517982502704536,0.0600573048321868,-0.0750822062252956,0.09147315680445184,0.07712832053163343,-0.044907544552776235,-0.014454827759363575
2025-07-10,0.049039485774245634,0.22407243536116525,0.18337459160410743,0.03813640147084485,0.10559890025260014,-0.149112057365276,0.11834971342326861,-0.009532198543570874,0.004111032970722628,-0.0666709947002545,-0.04770885593252702,0.07742355869544462,0.0008271182227142515,-0.013450522361986739,-0.07085242781525614,-0.2228708559374959,-0.08710431230750235,-0.02524539063634801,-0.0797731370246943,0.060253163414354494,-0.10417869138555749,0.015071176730002689,0.23278540481250626,0.008173412763531618,0.25716619531902485,0.06894251111899291,-0.045067724861878045,0.007720992747428823,0.3627089526988869,-0.06304106611196736,-0.11767180546279676,0.14219586386991612,0.03333628092447749,-0.11212245370803953,0.36368240585219214,-0.06392169281939003,0.19302135298800502,0.0046629558664949555,0.1319600745567464,-0.05606594897496192,0.10417238191372177,0.08579224824102777,-0.0674468885934344,0.009835288201273829
2025-07-11,0.10612709899845946,0.22929082426009398,0.20434576759475834,0.05041552270764654,0.12148915028816663,-0.15574735943225776,0.17590014043422356,0.011444538392166137,0.015684776035151726,-0.03730987890015225,-0.03168956971614073,-0.023509439835061846,0.08826089364117967,0.015060354751117722,-0.026249570611883127,-0.02323734592590171,-0.10224706483539389,0.028894102525324983,0.10510784338521045,0.012300343288158377,-0.07034961184799746,-0.08362149342617975,0.1903432253490284,-0.049282743185796896,0.21979353501715743,0.09600133093462859,0.03135605331582747,-0.21323845478020576,0.3258566596702078,-0.07242121139887686,-0.1408000508752999,0.10770234793499289,0.07180035520738676,-0.16284232150234268,0.34511868555527436,-0.03105520470537343,0.24028314297350567,0.04229573528099412,0.1464278959542623,-0.0885540105179266,0.11130079591630307,-0.19965066022360728,-0.0649999048566608,-0.02222351127019434
2025-07-14,0.05463018395419833,0.1548818367923387,0.19298275622507105,0.06347696713350326,0.15517331583505628,-0.12852325758243877,0.14279233481186493,0.004148872630834549,0.061080498702667574,-0.024679726430901383,0.037745367138634106,-0.010438252237343876,-0.03053678260792797,0.048393599919224095,-0.03737114177358977,-0.1654927357926314,-0.1124158483121003,0.03096784451365231,-0.007838171186486997,-0.008502222431942874,-0.08722210812001324,-0.08460622298266235,0.23084549002295052,-0.08378425253447042,-0.09117738560762334,0.07025487267128205,0.0048288842019300615,0.054287885996366025,0.13284356144124032,-0.03563870265110064,-0.08918654215491961,0.12121827535814078,-0.027655362382192183,-0.16716599218980188,0.1413991016960351,-0.0011481418808536592,0.22764685910644786,-0.2708619246862459,0.15313213687684024,-0.16065492307934987,0.14043174044792467,-0.15541903591172745,-0.03528693327170329,0.08946446104643363
