Period,Feature,Horizon,Rank_IC
2022_BEAR,rank_price_ma20_ratio,5d,-0.025679574166645194
2022_BEAR,rank_price_ma20_ratio,10d,-0.022876716425637784
2022_BEAR,rank_price_ma20_ratio,20d,-0.035395787672729793
2022_BEAR,rank_price_ma20_ratio,60d,0.009732406524010714
2022_BEAR,rank_price_ma60_ratio,5d,-0.024315629802572403
2022_BEAR,rank_price_ma60_ratio,10d,-0.024015291432861713
2022_BEAR,rank_price_ma60_ratio,20d,-0.02129167213032862
2022_BEAR,rank_price_ma60_ratio,60d,0.03512088111788262
2022_BEAR,rank_price_ma120_ratio,5d,-0.011824401490451325
2022_BEAR,rank_price_ma120_ratio,10d,-0.011559440441136432
2022_BEAR,rank_price_ma120_ratio,20d,-0.004589600934130086
2022_BEAR,rank_price_ma120_ratio,60d,0.034187841144362886
2022_BEAR,rank_atr_20,5d,0.004485735594761418
2022_BEAR,rank_atr_20,10d,0.014965454142325092
2022_BEAR,rank_atr_20,20d,0.03113800273495306
2022_BEAR,rank_atr_20,60d,0.050520454058684945
2022_BEAR,rank_atr_60,5d,0.009147489828905517
2022_BEAR,rank_atr_60,10d,0.01803509739263724
2022_BEAR,rank_atr_60,20d,0.030270435656794634
2022_BEAR,rank_atr_60,60d,0.04073365914445376
2022_BEAR,rank_rolling_std_20,5d,-0.001727556145882583
2022_BEAR,rank_rolling_std_20,10d,0.006625965924584674
2022_BEAR,rank_rolling_std_20,20d,0.019522319839649326
2022_BEAR,rank_rolling_std_20,60d,0.045870960623584284
2022_BEAR,rank_rolling_std_60,5d,0.004112888837118328
2022_BEAR,rank_rolling_std_60,10d,0.01392046657389778
2022_BEAR,rank_rolling_std_60,20d,0.026640191321831548
2022_BEAR,rank_rolling_std_60,60d,0.05111820713020112
2022_BEAR,rank_volume_zscore_20,5d,0.0007798629258693713
2022_BEAR,rank_volume_zscore_20,10d,0.0036854151956000614
2022_BEAR,rank_volume_zscore_20,20d,0.0010219233338953076
2022_BEAR,rank_volume_zscore_20,60d,-0.005396392712734549
2022_BEAR,rank_volume_zscore_60,5d,-0.004060003208846303
2022_BEAR,rank_volume_zscore_60,10d,-0.0029633754248973403
2022_BEAR,rank_volume_zscore_60,20d,-0.004594221631106039
2022_BEAR,rank_volume_zscore_60,60d,-0.011032535680211843
2022_BEAR,rank_dollar_volume_log,5d,-0.0007368312915042582
2022_BEAR,rank_dollar_volume_log,10d,0.0026797350779907275
2022_BEAR,rank_dollar_volume_log,20d,0.003041822386597939
2022_BEAR,rank_dollar_volume_log,60d,-0.0016142903255316312
2022_BEAR,rank_volume_ma60_ratio,5d,-0.0026160404970973607
2022_BEAR,rank_volume_ma60_ratio,10d,0.0014764372073473085
2022_BEAR,rank_volume_ma60_ratio,20d,-0.0017677868122005838
2022_BEAR,rank_volume_ma60_ratio,60d,-0.009610441294607667
2022_BEAR,rank_RSI_14,5d,-0.02026307614089831
2022_BEAR,rank_RSI_14,10d,-0.01269244844935729
2022_BEAR,rank_RSI_14,20d,-0.0202461457767454
2022_BEAR,rank_RSI_14,60d,0.028423320807128893
2022_BEAR,rank_MACD_norm,5d,-0.02126402438821688
2022_BEAR,rank_MACD_norm,10d,-0.027592768703346055
2022_BEAR,rank_MACD_norm,20d,-0.026667415968878973
2022_BEAR,rank_MACD_norm,60d,0.030795121919559697
2022_BEAR,rank_MACDh_norm,5d,-0.01590305935048086
2022_BEAR,rank_MACDh_norm,10d,-0.015554566347942573
2022_BEAR,rank_MACDh_norm,20d,-0.03339677425397601
2022_BEAR,rank_MACDh_norm,60d,-0.0123963992029959
2022_BEAR,rank_BB_pct_b,5d,-0.02568302189095631
2022_BEAR,rank_BB_pct_b,10d,-0.021298348497168513
2022_BEAR,rank_BB_pct_b,20d,-0.03324666404410894
2022_BEAR,rank_BB_pct_b,60d,0.006433406673286711
2022_BEAR,rank_ADX_14,5d,0.002770061784451008
2022_BEAR,rank_ADX_14,10d,0.0003702672892509607
2022_BEAR,rank_ADX_14,20d,0.011751431479434768
2022_BEAR,rank_ADX_14,60d,0.028369451637817428
2024H2,ret_5d,5d,-0.014020602088936846
2024H2,ret_5d,10d,0.0015390387623343965
2024H2,ret_5d,20d,0.006658390385446807
2024H2,ret_5d,60d,0.015003311109325122
2024H2,ret_10d,5d,-0.004542978420264347
2024H2,ret_10d,10d,0.002944210019402362
2024H2,ret_10d,20d,0.0076280065847267285
2024H2,ret_10d,60d,0.021864745616199898
2024H2,ret_20d,5d,-0.0010013919124694057
2024H2,ret_20d,10d,0.005458763191054625
2024H2,ret_20d,20d,0.01706594325563663
2024H2,ret_20d,60d,0.032477269789287735
2024H2,ret_60d,5d,0.013644599422648765
2024H2,ret_60d,10d,0.024190234161737913
2024H2,ret_60d,20d,0.03500429027093662
2024H2,ret_60d,60d,0.025078117757050822
2024H2,price_ma20_ratio,5d,-0.006652191866665706
2024H2,price_ma20_ratio,10d,0.0048553649829793455
2024H2,price_ma20_ratio,20d,0.011642495696462763
2024H2,price_ma20_ratio,60d,0.02935608508926901
2024H2,price_ma60_ratio,5d,0.00095217053430611
2024H2,price_ma60_ratio,10d,0.013596925455967657
2024H2,price_ma60_ratio,20d,0.025206766504732143
2024H2,price_ma60_ratio,60d,0.03785639390413809
2024H2,price_ma120_ratio,5d,0.003299689747437689
2024H2,price_ma120_ratio,10d,0.009851004497836002
2024H2,price_ma120_ratio,20d,0.013360927634227467
2024H2,price_ma120_ratio,60d,0.02136620220388045
2024H2,atr_20,5d,0.003749802224478168
2024H2,atr_20,10d,0.016895025414106122
2024H2,atr_20,20d,0.023792595739985635
2024H2,atr_20,60d,0.015583464236887805
2024H2,atr_60,5d,-0.002846729240968906
2024H2,atr_60,10d,0.00359874156016196
2024H2,atr_60,20d,0.003995837807631501
2024H2,atr_60,60d,0.002273739245342607
2024H2,rolling_std_20,5d,-0.0013726263570821658
2024H2,rolling_std_20,10d,0.013529556357066047
2024H2,rolling_std_20,20d,0.0217182190491421
2024H2,rolling_std_20,60d,0.010598682999251745
2024H2,rolling_std_60,5d,-0.0009698159340250361
2024H2,rolling_std_60,10d,0.009500162653140694
2024H2,rolling_std_60,20d,0.01454921038259698
2024H2,rolling_std_60,60d,0.010305015075127585
2024H2,volume_zscore_20,5d,0.006375994925802202
2024H2,volume_zscore_20,10d,0.010064619904694812
2024H2,volume_zscore_20,20d,0.01757241722062977
2024H2,volume_zscore_20,60d,0.007494342746637299
2024H2,volume_zscore_60,5d,0.012272096892933073
2024H2,volume_zscore_60,10d,0.01852538248992522
2024H2,volume_zscore_60,20d,0.026364842932312803
2024H2,volume_zscore_60,60d,0.007068008477066081
2024H2,dollar_volume_log,5d,0.004573387446215877
2024H2,dollar_volume_log,10d,0.005378733176055235
2024H2,dollar_volume_log,20d,0.0107496140172606
2024H2,dollar_volume_log,60d,-0.014032296528670558
2024H2,volume_ma60_ratio,5d,0.010436542728023378
2024H2,volume_ma60_ratio,10d,0.02017029607305529
2024H2,volume_ma60_ratio,20d,0.02969572706923139
2024H2,volume_ma60_ratio,60d,0.00629610881256114
2024H2,RSI_14,5d,0.006460259448670436
2024H2,RSI_14,10d,0.024501699607906244
2024H2,RSI_14,20d,0.028395951109594014
2024H2,RSI_14,60d,0.041894229928012824
2024H2,MACD_norm,5d,0.0034970086558734482
2024H2,MACD_norm,10d,0.012052848103303258
2024H2,MACD_norm,20d,0.0237095126580655
2024H2,MACD_norm,60d,0.03666148275533373
2024H2,MACDh_norm,5d,-0.010829012764341683
2024H2,MACDh_norm,10d,-0.003915805546405228
2024H2,MACDh_norm,20d,0.003310009888017122
2024H2,MACDh_norm,60d,0.014864898391420566
2024H2,BB_pct_b,5d,-0.004260032887929411
2024H2,BB_pct_b,10d,0.006718123677908642
2024H2,BB_pct_b,20d,0.008549581964301948
2024H2,BB_pct_b,60d,0.019474662164367836
