Period,Strategy,CAGR(%),MDD(%),Sortino,Sharpe
2022_BEAR,Buy & Hold (^TWII),0.0,0.0,0.0,0.0
2022_BEAR,Equal Weight (Univ 45),-20.289859785779473,32.10579096307724,-0.9642338261146582,-0.6776646922839267
2022_BEAR,Momentum Top 5,-34.17186641661605,44.06708394208684,-1.4321058391375776,-1.0085122650193377
2024H2,Buy & Hold (^TWII),0.0,0.0,0.0,0.0
2024H2,Equal Weight (Univ 45),-3.3037996617436116,21.284069268786542,0.020845423142302446,0.018727552235592915
2024H2,Momentum Top 5,14.5107816783967,25.227641689073444,0.8209314830213474,0.5436400338049138
2025H1,Buy & Hold (^TWII),0.0,0.0,0.0,0.0
2025H1,Equal Weight (Univ 45),1.2250429142368846,34.843589998374846,0.26951281616870726,0.23060299240021534
2025H1,Momentum Top 5,-2.7965830706383255,36.78874199577162,0.16927973295596915,0.12385766061997645
2025H2,Buy & Hold (^TWII),0.0,0.0,0.0,0.0
2025H2,Equal Weight (Univ 45),85.75414072478469,9.577957495341002,3.873662015233912,2.880469162391692
2025H2,Momentum Top 5,197.7776443137325,11.173212795458976,4.32826769061282,2.9144757335007925
2026H1,Buy & Hold (^TWII),0.0,0.0,0.0,0.0
2026H1,Equal Weight (Univ 45),377.8165842930119,11.174648422431174,6.288959130571729,4.149275315704871
2026H1,Momentum Top 5,1714.0356804006888,19.854210060510923,8.38805725319456,5.1413840668708914
