date,cash_weight,portfolio_value,weight_2330.TW,weight_2317.TW,weight_2454.TW,weight_6488.TWO,weight_3661.TW,weight_3037.TW,weight_3324.TWO,weight_3034.TW,weight_2345.TW,weight_2408.TW,weight_3653.TW,weight_2308.TW,weight_6669.TW,weight_5483.TWO,weight_2303.TW,weight_6213.TW,weight_2379.TW,weight_6415.TW,weight_3711.TW,weight_3443.TW,weight_8299.TWO,weight_2382.TW,weight_3665.TW,weight_8046.TW,weight_6274.TWO,weight_3189.TW,weight_5347.TWO,weight_3231.TW,weight_5269.TW,weight_3017.TW,weight_2368.TW,weight_8016.TW,weight_2357.TW,weight_2421.TW,weight_3131.TWO,weight_2324.TW,weight_2376.TW,weight_6285.TW,weight_2356.TW,weight_3529.TWO,weight_3583.TW,weight_6409.TW,weight_3380.TW,weight_8996.TW,weight_6187.TWO
2025-01-03,0.7434702574611194,0.9930118585392569,0.0,0.0,0.0,0.0,0.10649378959362828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500359529452524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.8499640470547476,0.9937268363136738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500359529452524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,0.5915341567174606,0.9927129941997387,0.0,0.0,0.0,0.0,0.11537343161949064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12437192927388403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16872048238916476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,0.5915341567174606,0.9835610424170249,0.0,0.0,0.0,0.0,0.11537343161949064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12437192927388403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16872048238916476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,0.47440026041893635,0.968454199811058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161460947000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1407331624918944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16872048238916476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.8592668375081056,0.9616600991372815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1407331624918944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,0.874307140856004,0.95364705837397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125692859143996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,1.0,0.9541411972738477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,0.8723345770156855,0.9531540312330776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12766542298431452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,0.8723345770156855,0.9541109715599232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12766542298431452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
