date,cash_weight,portfolio_value,weight_2330.TW,weight_2317.TW,weight_2454.TW,weight_6488.TWO,weight_3443.TW,weight_2408.TW,weight_5483.TWO,weight_3661.TW,weight_2308.TW,weight_2345.TW,weight_3711.TW,weight_3665.TW,weight_2303.TW,weight_3231.TW,weight_3017.TW,weight_8299.TWO,weight_2382.TW,weight_5269.TW,weight_3037.TW,weight_3189.TW,weight_2376.TW,weight_2357.TW,weight_5347.TWO,weight_2421.TW,weight_6274.TWO,weight_2379.TW,weight_3380.TW,weight_3583.TW,weight_2356.TW,weight_6415.TW,weight_2324.TW,weight_6213.TW,weight_3034.TW,weight_6187.TWO,weight_3529.TWO,weight_6285.TW,weight_3324.TWO,weight_3653.TW,weight_2368.TW,weight_8046.TW,weight_8016.TW,weight_6409.TW,weight_6669.TW,weight_3131.TWO,weight_8996.TW
2022-01-04,0.17875533411263245,0.9847617317379682,0.0,0.0,0.21972552522420896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12130621439365237,0.0,0.0,0.0,0.0,0.0,0.0,0.1159319479691923,0.0,0.0,0.0,0.19174847758424182,0.0,0.1725325007160721,0.0,0.0,0.0,0.0
2022-01-05,0.0348480422876295,0.9583746506909119,0.0,0.0,0.21972552522420896,0.2598392397941952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12130621439365237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19174847758424182,0.0,0.1725325007160721,0.0,0.0,0.0,0.0
2022-01-06,0.1396657625637343,0.9400171204512396,0.0,0.0,0.0,0.2598392397941952,0.0,0.0,0.0,0.0,0.0,0.0,0.2874403056641763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12130621439365237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19174847758424182,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.859633053084857,0.9327987424331359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08883967424993061,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.7479018352307816,0.938822280755598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.20057089210400605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.7479018352307816,0.9334832058940029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.20057089210400605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.7479018352307816,0.9353141485158044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.20057089210400605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.5542148308758432,0.9222942580862163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.20057089210400605,0.0,0.0,0.19368700435493844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.5542148308758432,0.9177251304740178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.20057089210400605,0.0,0.0,0.19368700435493844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,0.8650353125011694,0.9203535502792408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051527272665212294,0.0,0.0,0.0,0.0,0.0,0.08343741483361833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
