date,2303.TW,2308.TW,2317.TW,2324.TW,2330.TW,2345.TW,2356.TW,2357.TW,2368.TW,2376.TW,2379.TW,2382.TW,2408.TW,2421.TW,2454.TW,3017.TW,3034.TW,3037.TW,3131.TWO,3189.TW,3231.TW,3324.TWO,3380.TW,3443.TW,3529.TWO,3583.TW,3653.TW,3661.TW,3665.TW,3711.TW,5269.TW,5347.TWO,5483.TWO,6187.TWO,6213.TW,6274.TWO,6285.TW,6409.TW,6415.TW,6488.TWO,6669.TW,8016.TW,8046.TW,8299.TWO,8996.TW
2025-01-02,-0.014791655293454636,0.04352560561497243,-0.13262840073498583,-0.01299891223091354,0.11843956510490908,-0.037122172616296356,-0.21408625343267243,-0.006822310616995703,0.10997721473018474,0.03535000810132205,0.017471767576450303,0.017327657397990498,0.004214783096331776,-0.00191254360607368,0.020085154561720997,-0.04354700254260441,0.09486528224847518,0.0838077434854535,-0.07105260652231199,0.04297383083167661,-0.05949732822194387,-0.005657380605187556,0.0822441581185491,0.035689470709796334,0.03174819818344693,-0.10143443045700715,0.18837554228686104,0.27737032175314147,0.04904251262879966,0.05250275350061551,0.04741328229855135,0.02107648299137127,0.02746401691966882,-0.2085615674685774,0.07230906018949185,-0.03774638689591575,-0.05370484971932865,-0.0005381635683691655,-0.05934343180306206,-0.14076897680611078,0.10275615943644367,0.0012156278236756246,-0.06891341813664353,-0.05438395714845412,-0.40053122319390266
2025-01-03,-0.014754437853614938,0.046006429145924344,-0.15149870668292648,-0.03191189213875267,0.051552391073699494,-0.04451166111020993,-0.1278391347149855,0.048818400479214374,0.07927499820909234,0.04854890033215034,0.005278570512505687,0.025591792184028433,0.16959194860819266,0.06275223207835134,0.01889590050876755,0.012150138523936704,0.049182528920091895,0.09197532922864227,-0.18837287091535704,0.08745097136131585,-0.004838113744339789,0.03228840585876419,0.10883025427995544,0.02587172574569957,0.02574674923706588,-0.10141843828474201,0.17563961027919744,0.2049522612457445,0.046697433068134286,0.066500030116315,0.06777239433160637,0.010042821616487063,0.013279311352019735,-0.20953910362266526,0.0390171376053387,-0.03142599422926856,-0.06696814854801464,0.0005661246566164846,-0.16424836008410387,-0.042819629735550147,-0.045978508237458415,-0.03605884165603912,0.015536852614509988,-0.0033011760296117187,-0.39287311370711897
2025-01-06,-0.08400896618760609,-0.008284501649249931,-0.17935509792892756,-0.03785361093131978,0.1370793381158632,-0.07927477626962026,0.022458594651595665,0.024274621177164307,0.13277994901196177,0.07557419666260784,-0.01499230372503918,0.004587217582316422,0.02445705247927371,0.16636560040939463,0.034353201035158265,-0.0882837534876087,-0.02718617519748795,0.08436012567513146,-0.17342633199761703,0.013133677862273152,0.0013162914643178314,0.029812163816338777,0.09639399789542252,0.06503267268036295,0.02825497944797284,-0.20754774830389766,0.01763527151408295,0.10799863349847566,0.05200170725503217,0.04575164569711454,0.02153801495481794,-0.033992322610655545,-0.12120989255968012,-0.15725577765215742,0.054896967610656766,-0.056138663067110406,-0.03749933832588587,0.03254054732789502,-0.16084337831435597,-0.06601787437730272,0.10065339965853193,-0.015328815198494161,-0.20894911219088252,0.0036238364333575634,-0.06603584985956051
2025-01-07,-0.24909677378126138,0.03444315844182358,-0.03582294895936336,0.01819179845744434,0.12514972801193228,-0.12632368013659734,-0.04567942277667289,0.045291744797736094,0.027745936879548405,0.030598161107338873,-0.01953497537328064,0.01048064850412364,-0.05005970538000226,0.018603968094506984,0.025214106823150506,-0.08001696825377147,-0.040689753935287676,0.1045461320337066,-0.14926182379937775,0.028962722763809456,-0.04426178501641009,0.040165189240048305,0.0036433775998510054,0.05094173944029684,0.01646770847396889,-0.058316826205872696,-0.017952532350308803,0.09361648726721694,0.030457008546059705,-0.05621567335544991,0.01166197371099198,0.0466476635242562,-0.11491591517944055,-0.16823020052656168,-0.028580927287692848,-0.03883122639804354,0.004531224836305692,0.07311115566687182,-0.17451190086473084,-0.05194874428823759,0.009531908201709016,0.03251172067443425,0.06969323411442047,-0.006909991456784947,-0.062492135370955326
2025-01-08,-0.10085707709355485,0.016439906845445107,-0.07970133177944339,0.05205161885551657,0.12658258286751878,-0.11839366116740868,0.04122221811484006,0.048853610853528795,0.05128259841988897,0.030044852342768658,-0.021161784385430094,0.014076405941519043,-0.13999103671532814,-0.017061721819149167,0.008087692761341858,-0.06808404050236327,-0.04532084134998027,0.1642044978866729,-0.203935398491085,0.06503405076187374,-0.020434002670685014,-0.005611785156230009,-0.014446650505291703,-0.043371612551455496,-0.022917731394956398,-0.08544793600347811,0.04875102788275232,0.18183487529321674,0.21197583310391438,0.09452556336007087,0.03248585605680965,0.0008148567874339818,-0.10883428239636717,-0.11502564043676394,-0.05215151383882999,-0.022269522590085467,0.04227268061626738,-0.003813781013243478,-0.1679661332720791,-0.08829999197024896,-0.09423739378047352,-0.028888063208243553,0.062317476156856455,-0.0016569231929618455,-0.06815569722909648
2025-01-09,-0.2341451998511328,-0.03208524177913308,-0.15389007058609375,0.03643111340774502,0.047066200069713265,0.025564917740932003,0.06201765918012703,-0.051855215880207695,0.009611812965237831,0.029267324898370306,-0.04266777904774843,0.014273194504395209,-0.17725227840916158,-0.008991816569852706,0.027662941448370726,-0.08245837777414561,-0.1403159999208261,0.10910287220984571,-0.2065991070894745,0.08746653674551441,-0.05419680765076412,-0.028480669964544292,-0.1041917444290707,-0.005555327649513386,-0.02097450897297426,-0.1509948785187271,0.03503724758492227,0.10208747053468592,0.12099491109864557,0.040770186522330165,-0.005329682336689179,0.009387466679664502,0.11192153507685548,-0.09248293300518562,-0.05114294628686422,0.03184482374941128,0.11510302522226556,0.12570440414128814,-0.09077487402407058,-0.05953479871830075,-0.010677760541883852,-0.02728070274130634,0.08786177845293597,0.014392934366452115,-0.07655819457999063
2025-01-10,-0.2231681302029348,0.05713800831023061,-0.15929644406821564,0.0417269079790934,0.08229994020245876,0.03799939032229105,0.04274998703923011,0.0019582824298956525,-0.13451689064836841,0.03291156201322984,-0.05449011204572496,0.02765612573902701,0.11136453565775267,-0.0026446113261024418,0.01081925730090999,0.12372499977291707,-0.11245555678304617,0.1585877840790441,-0.14535459224518138,0.07330829018615792,-0.0480013358879956,-0.07011509399548316,-0.12111349925932352,-0.007630289816184022,0.028389292879198114,-0.1097404751014287,0.06637859099381949,0.20441439256409955,0.11333695074205419,0.019564089873016777,0.05707504556081433,0.008882595497926415,0.11699503256533977,-0.25745482228099653,-0.05693763968458099,-0.00032868829780619,0.07236968556916534,0.11957297943183937,-0.06888520288968786,-0.1227141994375015,0.016289629416209872,-0.03453355917206191,0.020642200477509642,0.04422623532563469,-0.1361697634696291
2025-01-13,-0.24501074543692788,-0.022385867696981393,-0.007759396257564083,0.04294334933429461,0.14249271744809172,0.11107014937692283,0.07143394409143658,0.017271068038855864,0.0157472396858388,-0.004884191560651674,-0.05850364488238802,-0.053109920001991995,0.1957749397892476,-0.04744358527893927,-0.0013003169092349887,0.24810220123487448,-0.1254602297412912,-0.014081581977911428,-0.025413588540602883,0.05250460189003586,-0.07029620483099491,-0.03966954555361896,-0.055949777117327903,-0.030797002005757412,-0.10634597566996434,-0.025580240186993397,0.017532310757938818,0.2925791252069285,0.045819570540762966,-0.02095520373687254,0.07828627206851796,-0.05058738003891983,0.1552087448382065,-0.17080773655141096,-0.05579634917194576,0.1005440374596911,0.06203645937732838,0.004887975635692321,-0.11308958163848448,-0.046766953842485026,0.055093846492582754,-0.08469502189672717,0.05536316712690936,-0.12443461899493793,-0.1034733560729737
2025-01-14,-0.051759033859588965,0.051805683315503614,-0.09147346540317997,0.04888317759454197,0.08413401623554526,-0.0547747500718917,0.08918491856541322,0.007661596923720676,0.05252618926369024,0.01135977246537534,0.012259691838270859,-0.0046490209222097845,0.1088463314357081,-0.12013910282385692,-0.0005809184697158631,0.22791452590394326,0.026510233134879463,0.004419010930368117,-0.08503009191039879,0.04757297497059032,-0.07947237935468357,-0.03816977452244541,0.006781280826109903,-0.07982311186493835,-0.05829146060073426,-0.13562856900736664,0.0332760827222468,0.19186556136877103,-0.01567847433235975,0.016986009079964226,0.06659202853874685,-0.0666839168452446,0.009482667663487376,-0.1524014561683117,-0.1301166873744949,-0.015945054444977458,0.07439723503687573,-0.03658408640592642,-0.17895864973510267,0.0776802582329113,0.005972624904571178,-0.000809545498534292,-0.060499031984108165,-0.043224402542899665,-0.07860074987258558
2025-01-15,-0.09804343961275716,0.008947319212591509,-0.1057149075239385,0.037981222232654765,0.15169224294902314,0.06800955896208055,0.021714258168704814,-0.026670670427134113,0.06585287180013111,-0.02829711276298269,0.022908412535212586,0.02614771635072896,0.31506767034655403,-0.1874237982261163,-0.016194081909703395,0.3512254444447942,0.09150600958793711,-0.031819871456782944,0.08544352025322599,0.08024545457635535,-0.15967090573540185,-0.073499913894981,-0.026690683954862376,-0.14636027755104103,-0.09610575825551004,0.051379724402417226,-0.020204773749839366,0.1583836769511897,0.11086695898419258,0.011245767475036333,-0.14960150235248965,-0.0705843986233406,0.10768302359089169,-0.20003419565637892,-0.11676955184482857,-0.024059592399531315,0.053683031724651664,0.051782009765454995,-0.18313884705253558,-0.21506967566485358,0.062420042582292556,-0.03516431688707766,0.0345078524462652,-0.06940667655990135,-0.12264116541060355
